latitude,longitude,Place_Name,Vaccine_Type,Phone,Website,Prescreening_Website,Address,City,Zip,County
39.908383,-82.775668,Giant Eagle Pharmacy #6514 #G00200,Pfizer-BioNTech - Ages 12 years and older,614-866-3756,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,873 Refugee Road,Pickerington,43147,Fairfield County
41.024134,-81.640325,Acme Pharmacy,Pfizer-BioNTech - Ages 12 years and older,(330)825-2573,http://www.acmestores.com,http://gettheshot.coronavirus.ohio.gov,3200 Greenwich Rd.,Norton,44203,Summit County
41.685034,-81.341051,Giant Eagle Pharmacy #1282 #G00091,Moderna - Ages 12 years and older,440-701-1004,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,8383 Tyler Blvd.,Mentor,44060,Lake County
41.02621,-80.678882,Giant Eagle Pharmacy #4018 #G00135,Moderna - Ages 12 years and older,330-726-9518,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,478 Boardman-Canfield Rd.,Youngstown,44512,Mahoning County
41.441105,-81.860524,Giant Eagle Pharmacy #5810 #G00170,Moderna - Ages 12 years and older,440-356-3677,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,21593 Lorain Road,Fairview Park,44126,Cuyahoga County
40.032076000000004,-82.908094,Giant Eagle Pharmacy #6517 #G00202,Pfizer-BioNTech - Ages 12 years and older,614-337-0397,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,2900 Stelzer Road,Columbus,43219,Franklin County
40.800868,-81.49723,Giant Eagle Pharmacy #4152 #G00163,Pfizer-BioNTech - Ages 12 years and older,330-833-4890,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,2032 Lincoln Way East,Massillon,44646,Stark County
41.583299,-81.218233,Giant Eagle Pharmacy #4098 #G00160,Pfizer-BioNTech - Ages 12 years and older,440-286-8680,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,351 Center St.,Chardon,44024,Geauga County
40.061235,-83.179805,Giant Eagle Pharmacy #6529 #G00209,Pfizer-BioNTech - Ages 12 years and older,614-529-6685,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,6700 Hayden Run Road,Hilliard,43026,Franklin County
39.876617,-83.061474,Giant Eagle Pharmacy #6526 #G00206,Pfizer-BioNTech - Ages 12 years and older,614-875-8591,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,2173 Stringtown Rd,Grove City,43123,Franklin County
41.117359,-81.483335,Giant Eagle Pharmacy #5878 #G00178,Moderna - Ages 12 years and older,330-929-6372,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,230 Howe Road,Cuyahoga Falls,44221,Summit County
39.980499,-82.820806,Giant Eagle Pharmacy #6513 #G00199,Pfizer-BioNTech - Ages 12 years and older,614-866-3079,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,6867 East Broad Street,Columbus,43213,Franklin County
