Urban rural status,date,N_vaccinated,population,Vaccination rate
Large central metro,2020-12-14,0,3361980,0
Large fringe metro,2020-12-14,0,2472283,0
Medium metro,2020-12-14,0,2998590,0
Micropolitan,2020-12-14,0,1903516,0
Non-core,2020-12-14,0,447279,0
Small metro,2020-12-14,0,491627,0
Large central metro,2020-12-15,1,3361980,0
Large fringe metro,2020-12-15,2,2472283,1e-4
Medium metro,2020-12-15,1,2998590,0
Micropolitan,2020-12-15,0,1903516,0
Non-core,2020-12-15,0,447279,0
Small metro,2020-12-15,0,491627,0
Large central metro,2020-12-16,2,3361980,1e-4
Large fringe metro,2020-12-16,2,2472283,1e-4
Medium metro,2020-12-16,1,2998590,0
Micropolitan,2020-12-16,1,1903516,1e-4
Non-core,2020-12-16,0,447279,0
Small metro,2020-12-16,0,491627,0
Large central metro,2020-12-17,2,3361980,1e-4
Large fringe metro,2020-12-17,2,2472283,1e-4
Medium metro,2020-12-17,1,2998590,0
Micropolitan,2020-12-17,1,1903516,1e-4
Non-core,2020-12-17,0,447279,0
Small metro,2020-12-17,0,491627,0
Large central metro,2020-12-18,2,3361980,1e-4
Large fringe metro,2020-12-18,2,2472283,1e-4
Medium metro,2020-12-18,1,2998590,0
Micropolitan,2020-12-18,1,1903516,1e-4
Non-core,2020-12-18,0,447279,0
Small metro,2020-12-18,0,491627,0
Large central metro,2020-12-19,2,3361980,1e-4
Large fringe metro,2020-12-19,2,2472283,1e-4
Medium metro,2020-12-19,1,2998590,0
Micropolitan,2020-12-19,1,1903516,1e-4
Non-core,2020-12-19,1,447279,2e-4
Small metro,2020-12-19,0,491627,0
Large central metro,2020-12-20,3,3361980,1e-4
Large fringe metro,2020-12-20,2,2472283,1e-4
Medium metro,2020-12-20,1,2998590,0
Micropolitan,2020-12-20,1,1903516,1e-4
Non-core,2020-12-20,1,447279,2e-4
Small metro,2020-12-20,0,491627,0
Large central metro,2020-12-21,5,3361980,1e-4
Large fringe metro,2020-12-21,2,2472283,1e-4
Medium metro,2020-12-21,3,2998590,1e-4
Micropolitan,2020-12-21,1,1903516,1e-4
Non-core,2020-12-21,1,447279,2e-4
Small metro,2020-12-21,0,491627,0
Large central metro,2020-12-22,8,3361980,2e-4
Large fringe metro,2020-12-22,2,2472283,1e-4
Medium metro,2020-12-22,8,2998590,3e-4
Micropolitan,2020-12-22,1,1903516,1e-4
Non-core,2020-12-22,1,447279,2e-4
Small metro,2020-12-22,1,491627,2e-4
Large central metro,2020-12-23,12,3361980,4e-4
Large fringe metro,2020-12-23,2,2472283,1e-4
Medium metro,2020-12-23,17,2998590,6e-4
Micropolitan,2020-12-23,4,1903516,2e-4
Non-core,2020-12-23,5,447279,0.0011
Small metro,2020-12-23,8,491627,0.0016
Large central metro,2020-12-24,15,3361980,4e-4
Large fringe metro,2020-12-24,2,2472283,1e-4
Medium metro,2020-12-24,18,2998590,6e-4
Micropolitan,2020-12-24,4,1903516,2e-4
Non-core,2020-12-24,5,447279,0.0011
Small metro,2020-12-24,12,491627,0.0024
Large central metro,2020-12-25,15,3361980,4e-4
Large fringe metro,2020-12-25,3,2472283,1e-4
Medium metro,2020-12-25,18,2998590,6e-4
Micropolitan,2020-12-25,5,1903516,3e-4
Non-core,2020-12-25,5,447279,0.0011
Small metro,2020-12-25,12,491627,0.0024
Large central metro,2020-12-26,15,3361980,4e-4
Large fringe metro,2020-12-26,5,2472283,2e-4
Medium metro,2020-12-26,24,2998590,8e-4
Micropolitan,2020-12-26,6,1903516,3e-4
Non-core,2020-12-26,7,447279,0.0016
Small metro,2020-12-26,12,491627,0.0024
Large central metro,2020-12-27,16,3361980,5e-4
Large fringe metro,2020-12-27,6,2472283,2e-4
Medium metro,2020-12-27,27,2998590,9e-4
Micropolitan,2020-12-27,10,1903516,5e-4
Non-core,2020-12-27,7,447279,0.0016
Small metro,2020-12-27,15,491627,0.0031
Large central metro,2020-12-28,32,3361980,0.001
Large fringe metro,2020-12-28,16,2472283,6e-4
Medium metro,2020-12-28,43,2998590,0.0014
Micropolitan,2020-12-28,21,1903516,0.0011
Non-core,2020-12-28,10,447279,0.0022
Small metro,2020-12-28,17,491627,0.0035
Large central metro,2020-12-29,41,3361980,0.0012
Large fringe metro,2020-12-29,24,2472283,0.001
Medium metro,2020-12-29,61,2998590,0.002
Micropolitan,2020-12-29,31,1903516,0.0016
Non-core,2020-12-29,13,447279,0.0029
Small metro,2020-12-29,18,491627,0.0037
Large central metro,2020-12-30,50,3361980,0.0015
Large fringe metro,2020-12-30,32,2472283,0.0013
Medium metro,2020-12-30,83,2998590,0.0028
Micropolitan,2020-12-30,43,1903516,0.0023
Non-core,2020-12-30,16,447279,0.0036
Small metro,2020-12-30,36,491627,0.0073
Large central metro,2020-12-31,62,3361980,0.0018
Large fringe metro,2020-12-31,49,2472283,0.002
Medium metro,2020-12-31,89,2998590,0.003
Micropolitan,2020-12-31,44,1903516,0.0023
Non-core,2020-12-31,17,447279,0.0038
Small metro,2020-12-31,49,491627,0.01
Large central metro,2021-01-01,93,3361980,0.0028
Large fringe metro,2021-01-01,81,2472283,0.0033
Medium metro,2021-01-01,158,2998590,0.0053
Micropolitan,2021-01-01,96,1903516,0.005
Non-core,2021-01-01,22,447279,0.0049
Small metro,2021-01-01,56,491627,0.0114
Large central metro,2021-01-02,118,3361980,0.0035
Large fringe metro,2021-01-02,97,2472283,0.0039
Medium metro,2021-01-02,182,2998590,0.0061
Micropolitan,2021-01-02,105,1903516,0.0055
Non-core,2021-01-02,23,447279,0.0051
Small metro,2021-01-02,56,491627,0.0114
Large central metro,2021-01-03,140,3361980,0.0042
Large fringe metro,2021-01-03,102,2472283,0.0041
Medium metro,2021-01-03,198,2998590,0.0066
Micropolitan,2021-01-03,110,1903516,0.0058
Non-core,2021-01-03,24,447279,0.0054
Small metro,2021-01-03,58,491627,0.0118
Large central metro,2021-01-04,211,3361980,0.0063
Large fringe metro,2021-01-04,181,2472283,0.0073
Medium metro,2021-01-04,280,2998590,0.0093
Micropolitan,2021-01-04,156,1903516,0.0082
Non-core,2021-01-04,34,447279,0.0076
Small metro,2021-01-04,65,491627,0.0132
Large central metro,2021-01-05,744,3361980,0.0221
Large fringe metro,2021-01-05,429,2472283,0.0174
Medium metro,2021-01-05,541,2998590,0.018
Micropolitan,2021-01-05,294,1903516,0.0154
Non-core,2021-01-05,47,447279,0.0105
Small metro,2021-01-05,130,491627,0.0264
Large central metro,2021-01-06,1387,3361980,0.0413
Large fringe metro,2021-01-06,735,2472283,0.0297
Medium metro,2021-01-06,1083,2998590,0.0361
Micropolitan,2021-01-06,563,1903516,0.0296
Non-core,2021-01-06,78,447279,0.0174
Small metro,2021-01-06,305,491627,0.062
Large central metro,2021-01-07,2072,3361980,0.0616
Large fringe metro,2021-01-07,1021,2472283,0.0413
Medium metro,2021-01-07,1659,2998590,0.0553
Micropolitan,2021-01-07,805,1903516,0.0423
Non-core,2021-01-07,117,447279,0.0262
Small metro,2021-01-07,464,491627,0.0944
Large central metro,2021-01-08,3098,3361980,0.0921
Large fringe metro,2021-01-08,1545,2472283,0.0625
Medium metro,2021-01-08,2611,2998590,0.0871
Micropolitan,2021-01-08,1540,1903516,0.0809
Non-core,2021-01-08,189,447279,0.0423
Small metro,2021-01-08,665,491627,0.1353
Large central metro,2021-01-09,3307,3361980,0.0984
Large fringe metro,2021-01-09,1624,2472283,0.0657
Medium metro,2021-01-09,2714,2998590,0.0905
Micropolitan,2021-01-09,1569,1903516,0.0824
Non-core,2021-01-09,201,447279,0.0449
Small metro,2021-01-09,716,491627,0.1456
Large central metro,2021-01-10,3366,3361980,0.1001
Large fringe metro,2021-01-10,1657,2472283,0.067
Medium metro,2021-01-10,2753,2998590,0.0918
Micropolitan,2021-01-10,1581,1903516,0.0831
Non-core,2021-01-10,201,447279,0.0449
Small metro,2021-01-10,728,491627,0.1481
Large central metro,2021-01-11,5396,3361980,0.1605
Large fringe metro,2021-01-11,2699,2472283,0.1092
Medium metro,2021-01-11,4658,2998590,0.1553
Micropolitan,2021-01-11,2513,1903516,0.132
Non-core,2021-01-11,292,447279,0.0653
Small metro,2021-01-11,998,491627,0.203
Large central metro,2021-01-12,7666,3361980,0.228
Large fringe metro,2021-01-12,3758,2472283,0.152
Medium metro,2021-01-12,6376,2998590,0.2126
Micropolitan,2021-01-12,3316,1903516,0.1742
Non-core,2021-01-12,394,447279,0.0881
Small metro,2021-01-12,1400,491627,0.2848
Large central metro,2021-01-13,9618,3361980,0.2861
Large fringe metro,2021-01-13,4478,2472283,0.1811
Medium metro,2021-01-13,8210,2998590,0.2738
Micropolitan,2021-01-13,4626,1903516,0.243
Non-core,2021-01-13,547,447279,0.1223
Small metro,2021-01-13,1570,491627,0.3193
Large central metro,2021-01-14,10253,3361980,0.305
Large fringe metro,2021-01-14,5050,2472283,0.2043
Medium metro,2021-01-14,8936,2998590,0.298
Micropolitan,2021-01-14,5098,1903516,0.2678
Non-core,2021-01-14,594,447279,0.1328
Small metro,2021-01-14,1705,491627,0.3468
Large central metro,2021-01-15,10924,3361980,0.3249
Large fringe metro,2021-01-15,5428,2472283,0.2196
Medium metro,2021-01-15,9246,2998590,0.3083
Micropolitan,2021-01-15,5400,1903516,0.2837
Non-core,2021-01-15,643,447279,0.1438
Small metro,2021-01-15,1750,491627,0.356
Large central metro,2021-01-16,11581,3361980,0.3445
Large fringe metro,2021-01-16,6052,2472283,0.2448
Medium metro,2021-01-16,9898,2998590,0.3301
Micropolitan,2021-01-16,5834,1903516,0.3065
Non-core,2021-01-16,670,447279,0.1498
Small metro,2021-01-16,1861,491627,0.3785
Large central metro,2021-01-17,12262,3361980,0.3647
Large fringe metro,2021-01-17,6504,2472283,0.2631
Medium metro,2021-01-17,10455,2998590,0.3487
Micropolitan,2021-01-17,6303,1903516,0.3311
Non-core,2021-01-17,830,447279,0.1856
Small metro,2021-01-17,1898,491627,0.3861
Large central metro,2021-01-18,14011,3361980,0.4167
Large fringe metro,2021-01-18,8301,2472283,0.3358
Medium metro,2021-01-18,12132,2998590,0.4046
Micropolitan,2021-01-18,7759,1903516,0.4076
Non-core,2021-01-18,1152,447279,0.2576
Small metro,2021-01-18,2294,491627,0.4666
Large central metro,2021-01-19,17302,3361980,0.5146
Large fringe metro,2021-01-19,10245,2472283,0.4144
Medium metro,2021-01-19,14912,2998590,0.4973
Micropolitan,2021-01-19,9486,1903516,0.4983
Non-core,2021-01-19,1641,447279,0.3669
Small metro,2021-01-19,2567,491627,0.5221
Large central metro,2021-01-20,22278,3361980,0.6626
Large fringe metro,2021-01-20,14089,2472283,0.5699
Medium metro,2021-01-20,19889,2998590,0.6633
Micropolitan,2021-01-20,12137,1903516,0.6376
Non-core,2021-01-20,2082,447279,0.4655
Small metro,2021-01-20,3271,491627,0.6653
Large central metro,2021-01-21,25808,3361980,0.7676
Large fringe metro,2021-01-21,16693,2472283,0.6752
Medium metro,2021-01-21,22856,2998590,0.7622
Micropolitan,2021-01-21,14230,1903516,0.7476
Non-core,2021-01-21,2384,447279,0.533
Small metro,2021-01-21,3665,491627,0.7455
Large central metro,2021-01-22,27764,3361980,0.8258
Large fringe metro,2021-01-22,17945,2472283,0.7258
Medium metro,2021-01-22,23990,2998590,0.8
Micropolitan,2021-01-22,15242,1903516,0.8007
Non-core,2021-01-22,2669,447279,0.5967
Small metro,2021-01-22,3792,491627,0.7713
Large central metro,2021-01-23,29247,3361980,0.8699
Large fringe metro,2021-01-23,18986,2472283,0.768
Medium metro,2021-01-23,24816,2998590,0.8276
Micropolitan,2021-01-23,16072,1903516,0.8443
Non-core,2021-01-23,2863,447279,0.6401
Small metro,2021-01-23,3891,491627,0.7915
Large central metro,2021-01-24,29695,3361980,0.8833
Large fringe metro,2021-01-24,19538,2472283,0.7903
Medium metro,2021-01-24,25595,2998590,0.8536
Micropolitan,2021-01-24,16322,1903516,0.8575
Non-core,2021-01-24,2889,447279,0.6459
Small metro,2021-01-24,3962,491627,0.8059
Large central metro,2021-01-25,36065,3361980,1.0727
Large fringe metro,2021-01-25,24013,2472283,0.9713
Medium metro,2021-01-25,31104,2998590,1.0373000000000001
Micropolitan,2021-01-25,18915,1903516,0.9937
Non-core,2021-01-25,3512,447279,0.7852
Small metro,2021-01-25,4759,491627,0.968
Large central metro,2021-01-26,44090,3361980,1.3114
Large fringe metro,2021-01-26,29238,2472283,1.1826
Medium metro,2021-01-26,38672,2998590,1.2897
Micropolitan,2021-01-26,22437,1903516,1.1787
Non-core,2021-01-26,4230,447279,0.9457
Small metro,2021-01-26,5585,491627,1.136
Large central metro,2021-01-27,52230,3361980,1.5535
Large fringe metro,2021-01-27,35800,2472283,1.4481
Medium metro,2021-01-27,46416,2998590,1.5479
Micropolitan,2021-01-27,27156,1903516,1.4266
Non-core,2021-01-27,5064,447279,1.1322
Small metro,2021-01-27,6671,491627,1.3569
Large central metro,2021-01-28,59211,3361980,1.7612
Large fringe metro,2021-01-28,40643,2472283,1.6439
Medium metro,2021-01-28,52051,2998590,1.7358
Micropolitan,2021-01-28,30609,1903516,1.608
Non-core,2021-01-28,5637,447279,1.2603
Small metro,2021-01-28,7779,491627,1.5823
Large central metro,2021-01-29,64338,3361980,1.9137
Large fringe metro,2021-01-29,43832,2472283,1.7729
Medium metro,2021-01-29,55460,2998590,1.8495
Micropolitan,2021-01-29,32946,1903516,1.7308
Non-core,2021-01-29,6212,447279,1.3888
Small metro,2021-01-29,8513,491627,1.7316
Large central metro,2021-01-30,65836,3361980,1.9583
Large fringe metro,2021-01-30,45022,2472283,1.8211
Medium metro,2021-01-30,58067,2998590,1.9365
Micropolitan,2021-01-30,33494,1903516,1.7596
Non-core,2021-01-30,6348,447279,1.4192
Small metro,2021-01-30,8581,491627,1.7454
Large central metro,2021-01-31,66808,3361980,1.9872
Large fringe metro,2021-01-31,45766,2472283,1.8512
Medium metro,2021-01-31,59142,2998590,1.9723
Micropolitan,2021-01-31,33634,1903516,1.7669
Non-core,2021-01-31,6402,447279,1.4313
Small metro,2021-01-31,8629,491627,1.7552
Large central metro,2021-02-01,74346,3361980,2.2114
Large fringe metro,2021-02-01,50424,2472283,2.0396
Medium metro,2021-02-01,65367,2998590,2.1799
Micropolitan,2021-02-01,37439,1903516,1.9668
Non-core,2021-02-01,6900,447279,1.5427
Small metro,2021-02-01,9535,491627,1.9395
Large central metro,2021-02-02,81096,3361980,2.4121
Large fringe metro,2021-02-02,55458,2472283,2.2432
Medium metro,2021-02-02,72576,2998590,2.4203
